x t u
0.959596 0.500000 -0.049247
0.979798 0.500000 -0.024621
1.000000 0.500000 0.000008
-1.000000 0.750000 0.000032
-0.979798 0.750000 0.018898
-0.959596 0.750000 0.037757
-0.939394 0.750000 0.056610
-0.919192 0.750000 0.075456
-0.898990 0.750000 0.094294
-0.878788 0.750000 0.113124
-0.858586 0.750000 0.131946
-0.838384 0.750000 0.150756
-0.818182 0.750000 0.169554
-0.797980 0.750000 0.188335
-0.777778 0.750000 0.207096
-0.757576 0.750000 0.225830
-0.737374 0.750000 0.244534
-0.717172 0.750000 0.263205
-0.696970 0.750000 0.281840
-0.676768 0.750000 0.300437
-0.656566 0.750000 0.318995
-0.636364 0.750000 0.337515
-0.616162 0.750000 0.355996
-0.595960 0.750000 0.374436
-0.575758 0.750000 0.392834
-0.555556 0.750000 0.411186
-0.535354 0.750000 0.429490
-0.515152 0.750000 0.447739
-0.494949 0.750000 0.465927
-0.474747 0.750000 0.484049
-0.454545 0.750000 0.502099
-0.434343 0.750000 0.520069
-0.414141 0.750000 0.537955
-0.393939 0.750000 0.555751
-0.373737 0.750000 0.573452
-0.353535 0.750000 0.591052
-0.333333 0.750000 0.608548
-0.313131 0.750000 0.625933
-0.292929 0.750000 0.643201
-0.272727 0.750000 0.660345
-0.252525 0.750000 0.677355
-0.232323 0.750000 0.694221
-0.212121 0.750000 0.710932
-0.191919 0.750000 0.727478
-0.171717 0.750000 0.743849
-0.151515 0.750000 0.760035
-0.131313 0.750000 0.776020
-0.111111 0.750000 0.791783
-0.090909 0.750000 0.807308
-0.070707 0.750000 0.822579
-0.050505 0.750000 0.837549
-0.030303 0.750000 0.851805
-0.010101 0.750000 0.764401
0.010101 0.750000 -0.762853
0.030303 0.750000 -0.851757
0.050505 0.750000 -0.837585
0.070707 0.750000 -0.822623
0.090909 0.750000 -0.807383
0.111111 0.750000 -0.791863
0.131313 0.750000 -0.776085
0.151515 0.750000 -0.760077
0.171717 0.750000 -0.743866
0.191919 0.750000 -0.727469
0.212121 0.750000 -0.710904
0.232323 0.750000 -0.694185
0.252525 0.750000 -0.677322
0.272727 0.750000 -0.660324
0.292929 0.750000 -0.643195
0.313131 0.750000 -0.625940
0.333333 0.750000 -0.608563
0.353535 0.750000 -0.591069
0.373737 0.750000 -0.573462
0.393939 0.750000 -0.555750
0.414141 0.750000 -0.537939
0.434343 0.750000 -0.520040
0.454545 0.750000 -0.502059
0.474747 0.750000 -0.484005
0.494949 0.750000 -0.465886
0.515152 0.750000 -0.447707
0.535354 0.750000 -0.429473
0.555556 0.750000 -0.411187
0.575758 0.750000 -0.392851
0.595960 0.750000 -0.374465
0.616162 0.750000 -0.356032
0.636364 0.750000 -0.337551
0.656566 0.750000 -0.319025
0.676768 0.750000 -0.300457
0.696970 0.750000 -0.281849
0.717172 0.750000 -0.263207
0.737374 0.750000 -0.244533
0.757576 0.750000 -0.225831
0.777778 0.750000 -0.207103
0.797980 0.750000 -0.188352
0.818182 0.750000 -0.169578
0.838384 0.750000 -0.150784
0.858586 0.750000 -0.131971
0.878788 0.750000 -0.113142
0.898990 0.750000 -0.094301
0.919192 0.750000 -0.075451
0.939394 0.750000 -0.056595
0.959596 0.750000 -0.037738
0.979798 0.750000 -0.018878
1.000000 0.750000 -0.000017
-1.000000 1.000000 -0.000056
-0.979798 1.000000 0.015289
-0.959596 1.000000 0.030611
-0.939394 1.000000 0.045912
-0.919192 1.000000 0.061198
-0.898990 1.000000 0.076472
-0.878788 1.000000 0.091738
-0.858586 1.000000 0.106998
-0.838384 1.000000 0.122254
-0.818182 1.000000 0.137508
-0.797980 1.000000 0.152761
-0.777778 1.000000 0.168010
-0.757576 1.000000 0.183255
-0.737374 1.000000 0.198491
-0.717172 1.000000 0.213716
-0.696970 1.000000 0.228926
-0.676768 1.000000 0.244119
-0.656566 1.000000 0.259290
-0.636364 1.000000 0.274439
-0.616162 1.000000 0.289565
-0.595960 1.000000 0.304667
-0.575758 1.000000 0.319745
-0.555556 1.000000 0.334803
-0.535354 1.000000 0.349839
-0.515152 1.000000 0.364855
-0.494949 1.000000 0.379851
-0.474747 1.000000 0.394827
-0.454545 1.000000 0.409782
-0.434343 1.000000 0.424713
-0.414141 1.000000 0.439617
-0.393939 1.000000 0.454491
-0.373737 1.000000 0.469329
-0.353535 1.000000 0.484128
-0.333333 1.000000 0.498881
-0.313131 1.000000 0.513588
-0.292929 1.000000 0.528244
-0.272727 1.000000 0.542852
-0.252525 1.000000 0.557412
-0.232323 1.000000 0.571928
-0.212121 1.000000 0.586397
-0.191919 1.000000 0.600812
-0.171717 1.000000 0.615155
-0.151515 1.000000 0.629412
-0.131313 1.000000 0.643587
-0.111111 1.000000 0.657710
-0.090909 1.000000 0.671788
-0.070707 1.000000 0.685781
-0.050505 1.000000 0.699677
-0.030303 1.000000 0.712160
-0.010101 1.000000 0.594454
0.010101 1.000000 -0.598369
0.030303 1.000000 -0.712111
0.050505 1.000000 -0.699659
0.070707 1.000000 -0.685779
0.090909 1.000000 -0.671804
0.111111 1.000000 -0.657744
0.131313 1.000000 -0.643600
0.151515 1.000000 -0.629393
0.171717 1.000000 -0.615131
0.191919 1.000000 -0.600810
0.212121 1.000000 -0.586426
0.232323 1.000000 -0.571976
0.252525 1.000000 -0.557459
0.272727 1.000000 -0.542880
0.292929 1.000000 -0.528244
0.313131 1.000000 -0.513559
0.333333 1.000000 -0.498829
0.353535 1.000000 -0.484060
0.373737 1.000000 -0.469258
0.393939 1.000000 -0.454426
0.414141 1.000000 -0.439567
0.434343 1.000000 -0.424682
0.454545 1.000000 -0.409773
0.474747 1.000000 -0.394840
0.494949 1.000000 -0.379882
0.515152 1.000000 -0.364898
0.535354 1.000000 -0.349887
0.555556 1.000000 -0.334850
0.575758 1.000000 -0.319787
0.595960 1.000000 -0.304698
0.616162 1.000000 -0.289585
0.636364 1.000000 -0.274449
0.656566 1.000000 -0.259294
0.676768 1.000000 -0.244120
0.696970 1.000000 -0.228931
0.717172 1.000000 -0.213728
0.737374 1.000000 -0.198512
0.757576 1.000000 -0.183286
0.777778 1.000000 -0.168048
0.797980 1.000000 -0.152801
0.818182 1.000000 -0.137545
0.838384 1.000000 -0.122281
0.858586 1.000000 -0.107010
0.878788 1.000000 -0.091733
0.898990 1.000000 -0.076453
0.919192 1.000000 -0.061169
0.939394 1.000000 -0.045883
0.959596 1.000000 -0.030595
0.979798 1.000000 -0.015302
1.000000 1.000000 -0.000001
